employee_id,department,submitted_at,preferred_channel,update_frequency,feedback
E1001,Engineering,2025-01-15,Slack,Weekly,"The team culture is excellent and I feel genuinely supported. Code reviews are thorough and I learn something new every sprint."
E1002,Engineering,2025-01-15,Slack,Weekly,"Sprint planning feels rushed and we never have time to address tech debt. It's frustrating and unsustainable."
E1003,Engineering,2025-01-16,Email,Bi-weekly,"Great collaboration across the team. Would love more visibility into the product roadmap and strategic direction."
E1004,Engineering,2025-01-16,Slack,Weekly,"Promotion criteria are unclear. I have no idea what's expected to move from senior to staff level."
E1005,Marketing,2025-01-17,Email,Weekly,"Overwhelmed with the number of campaigns. We need better prioritization and clearer ownership across channels."
E1006,Marketing,2025-01-17,Slack,Daily,"Love the creative freedom here. Better performance dashboards would help the team iterate faster and smarter."
E1007,Marketing,2025-01-18,Email,Weekly,"Cross-functional alignment with sales is poor. We launch campaigns they don't know about. Communication needs work."
E1008,Marketing,2025-01-18,Slack,Weekly,"Disconnected from leadership. Town halls are too high-level and we never get real answers to direct questions."
E1009,Sales,2025-01-19,Slack,Daily,"Quotas feel unrealistic this quarter. The market is tough and we need more enablement and better tooling."
E1010,Sales,2025-01-19,In-Person,Weekly,"Great team and supportive manager, but the CRM crashes constantly. Incredibly frustrating to work with every day."
E1011,Sales,2025-01-20,Slack,Daily,"SDR training program needs significant work. I felt completely thrown into the deep end my first month here."
E1012,Sales,2025-01-20,Email,Bi-weekly,"Team is hitting numbers and morale is high. The new comp plan is fair and motivating for the whole team."
E1013,People Ops,2025-01-21,Email,Weekly,"Workload is sustainable and the team is collaborative. Genuinely one of the best places I've ever worked."
E1014,People Ops,2025-01-21,Slack,Weekly,"Need more headcount in recruiting. Running 80 open reqs across 2 recruiters is unsustainable and leads to errors."
E1015,People Ops,2025-01-22,In-Person,Bi-weekly,"Leadership trusts the team and gives real autonomy to do good work. Compensation could be more competitive."
E1016,Engineering,2025-04-01,Slack,Weekly,"On-call rotation is brutal. Three production incidents this month and I'm completely burnt out. Need more support."
E1017,Engineering,2025-04-01,Email,Weekly,"Onboarding was excellent. My buddy was incredibly helpful and I felt productive and confident within two weeks."
E1018,Engineering,2025-04-02,Slack,Bi-weekly,"Love working on hard problems with smart people. The team dynamic is positive and collaborative. Very happy here."
E1019,Marketing,2025-04-03,Slack,Weekly,"Manager changes have been disruptive and demoralizing. Three different managers in nine months is too much."
E1020,Marketing,2025-04-03,Email,Weekly,"The team is talented and creative. Better cross-team communication would make our campaigns significantly more effective."
E1021,Sales,2025-04-04,Slack,Daily,"Compensation is below market rate. Two peers left last month for higher offers. Leadership needs to address this urgently."
E1022,Sales,2025-04-04,In-Person,Weekly,"Pipeline visibility has improved a lot. The new forecasting tool is great and saves hours each week."
E1023,People Ops,2025-04-05,Email,Weekly,"Excellent team dynamic and strong leadership. We need clearer career paths for individual contributor growth."
E1024,People Ops,2025-04-05,Slack,Bi-weekly,"Happy with the role and impact. The work is meaningful and I feel connected to the mission every day."
E1001,Engineering,2025-06-15,Slack,Weekly,"Team has grown a lot and it shows. The engineering culture around quality and learning is exceptional."
E1003,Engineering,2025-06-15,Email,Weekly,"Roadmap visibility improved. Still want faster feedback loops between product and engineering on priorities."
E1005,Marketing,2025-06-16,Email,Weekly,"New campaign workflow is much better. Attribution reporting would complete the picture for measuring impact."
E1007,Marketing,2025-06-16,Slack,Weekly,"Sales and marketing alignment is improving. Joint planning sessions have made a real positive difference."
E1009,Sales,2025-06-17,Slack,Daily,"Enablement content has improved. Still need better tooling — the CRM issues are killing our productivity."
E1010,Sales,2025-06-17,In-Person,Weekly,"Team culture is strong. Great manager. Starting to feel like the compensation gap is less of an issue."
E1013,People Ops,2025-06-18,Email,Weekly,"Another great quarter. The team is doing exceptional work. Morale is high across the whole department."
E1023,People Ops,2025-06-18,Email,Bi-weekly,"Proud of what this team accomplishes. Clear values, smart colleagues, impactful work. Very fulfilling role."
